river,target,legacy_paper_nse,legacy_nse_obs,legacy_nse_imp,legacy_rmse,chronos_zs_nse,chronos_zs_rmse,chronos_zs_crps,chronos_zs_cov80,chronos_zs_cov90,chronos_zs_calib,chronos_lora_nse,chronos_lora_rmse,chronos_lora_crps,chronos_lora_cov80,best_model,best_nse
han,do,0.915,0.1306691110005406,0.4613063002439338,2.257804175862105,0.8303179800242343,0.7873722199535705,0.3543600891646281,0.6521739130434783,0.7851662404092071,0.0716843259042747,0.8322081727953758,0.7829744256025732,0.3476118346965017,0.6828644501278772,chronos_lora,0.8322081727953758
han,toc,0.68,0.0158151185544973,0.3597522819759418,0.3914021871645184,0.7145846130887497,0.1804835315583502,0.0841399855491662,0.7898936170212766,0.8430851063829787,0.0286474164133738,0.717892254819787,0.1794346838976888,0.0836603200531488,0.7819148936170213,chronos_lora,0.717892254819787
han,tn,0.712,-0.6299036743653408,0.3585005731863934,0.4481664536865922,0.7119970877827364,0.1605109564704305,0.0657710083547721,0.7578125,0.8359375,0.047470238095238,0.7136642135622078,0.1600457175600185,0.0651777983644699,0.7526041666666666,chronos_lora,0.7136642135622078
han,tp,0.402,0.0783006970919482,0.2232145836012001,0.0024908639981866,0.0341527267991057,0.0027824930465883,0.00110839335461,0.8209366391184573,0.8980716253443526,0.0323101141282959,0.0835969705742862,0.0027103358948447,0.0010909552767876,0.8319559228650137,chronos_lora,0.0835969705742862
han,chl-a,0.702,0.223956661480931,0.2718840148767205,8.640884116193458,0.3417532026986657,8.528654246966797,2.972443851706112,0.7388059701492538,0.8432835820895522,0.0668088130774698,0.3459806891783442,8.501223163115982,2.9340261831181182,0.763681592039801,chronos_lora,0.3459806891783442
nak,do,0.511,0.7474627974116497,0.6962267921073151,1.7175518224471304,0.781579404763042,1.4204261063470385,0.6448101033125787,0.7506631299734748,0.843501326259947,0.0277756726032587,0.7857476258818799,1.4068074970467883,0.6359005433443139,0.7639257294429708,chronos_lora,0.7857476258818799
nak,toc,0.625,0.32685437589623,0.4610935994723723,0.5419349853711501,0.2238823274824917,0.5905494190008177,0.2295130567539973,0.7338501291989664,0.8294573643410853,0.0276485788113695,0.2331031942418449,0.5870308493929093,0.227377827778297,0.7364341085271318,legacy,0.32685437589623
nak,tn,0.778,0.1442272136222568,0.2971721451073513,0.5561165569965614,0.3093637480017216,0.5680978316302434,0.2234628804896183,0.7533512064343163,0.8579088471849866,0.0343163538873994,0.3225267627724719,0.5626580255915141,0.2216575017107993,0.7640750670241286,chronos_lora,0.3225267627724719
nak,tp,0.509,0.5803905399238292,0.5747757812539713,0.0108683418676901,0.4358916490245995,0.0143024758324874,0.0053999449690564,0.8194070080862533,0.8867924528301887,0.0361956103195995,0.4506697289556345,0.014113889856222,0.0053369535221929,0.8328840970350404,legacy,0.5803905399238292
nak,chl-a,0.482,0.2490732087836102,0.2503177246464205,10.502887096722336,0.1231713627206434,12.327051907137092,4.976170360303096,0.7116402116402116,0.8253968253968254,0.0312169312169312,0.1185414593442074,12.35955421979086,4.9564342994165695,0.7301587301587301,legacy,0.2490732087836102
geum,do,0.874,0.9223363054612156,0.74213536357849,1.621957574224919,0.9569012390343556,0.6333441159920509,0.2936794270535757,0.6073903002309469,0.7274826789838337,0.0798746288353678,0.9580225013851256,0.6250512465903671,0.2867091966914797,0.6235565819861432,chronos_lora,0.9580225013851256
