river,station,target,nse,rmse,mae,r2,pbias,n_test,nse_obs,rmse_obs,n_obs
yeong,S04001,do,0.45438998298131095,2.0870439179176405,1.4598323983923673,0.500191283444671,-2.65322162227955,448,0.6759155514624211,1.3195283324002176,389
yeong,S04001,toc,0.4459483464711673,0.2425229531670475,0.180588602071203,0.4476078725162337,-0.04084640713148344,448,0.33644608326789405,0.22589239795440444,369
yeong,S04001,tn,0.29706726204027867,0.2865589555890494,0.22659548661860004,0.5876930300740828,10.70252263687981,448,-0.37015546214795236,0.27025746679496526,379
yeong,S04001,tp,0.44057883697341016,0.0031953109792147217,0.0021666102679002174,0.4465719006280086,-0.9906756915105992,448,0.39095601607940367,0.003439185092684042,379
yeong,S04001,chl-a,0.5271711028036343,5.09140261957438,3.5725604550659704,0.5358640060915529,4.230070319460283,448,0.5137780426090832,5.1008528760908876,393
yeong,S04002,do,-0.25623476628563857,4.912179686845754,3.764224563487405,0.007650619121676549,-9.810260489755855,448,0.1676889938796079,3.3713940372618163,377
yeong,S04002,toc,0.29124704860591066,0.9808030752969018,0.7361937795722675,0.314747652441304,4.027849891490446,448,-0.09040119321024909,0.9121104129888871,404
yeong,S04002,tn,0.5187390551106075,1.3418415137509818,0.9819744439280911,0.5258741171317468,3.5068518436734077,448,0.4911574430640484,1.3820435872435728,392
yeong,S04002,tp,0.17824135408371278,0.04087318298728957,0.03127229782733714,0.20819995956015366,-2.6297931884340797,448,0.20698655003460054,0.042862661137554436,388
yeong,S04002,chl-a,0.30841568562335586,43.41118035746962,30.928010941671605,0.3615749594906696,15.059136726833216,448,0.24705332650518064,47.677217190686136,399
yeong,S04003,do,0.36325021783406763,2.449077134545304,1.9893899214902697,0.4997323819386806,-9.118787339880496,448,0.42927415185054785,2.2956991461915246,415
yeong,S04003,toc,0.26390690994980326,1.1286527817406407,0.8218174041589481,0.2789737463478811,-2.206622160467546,448,0.22950716063956833,1.0824096113318489,384
yeong,S04003,chl-a,0.3066757573809388,15.946332226064916,10.68063933864236,0.3161765166579068,7.2779511517876845,448,0.34706600709580004,15.74573812615891,416
yeong,S04004,do,0.24715584030690774,1.844509786686708,1.2671033807836898,0.28707313079024843,-4.549650842960359,448,0.4631478163895314,1.3779371465766406,429
yeong,S04004,toc,0.6111030863713931,0.45791764086274445,0.3392331780561803,0.6817665465692773,6.268472141020526,448,0.5994982507354754,0.4809507947057658,408
yeong,S04004,tn,0.6845616600444214,0.3075519628257098,0.22354409609476042,0.6962438088925093,-0.059907148365069836,448,0.6954508377757469,0.2655855399853562,408
yeong,S04004,tp,0.5209882097782986,0.003982295537693326,0.003168570888589954,0.5784873834854167,-16.721945919259657,448,0.6103735215990904,0.0038696877416243506,382
yeong,S04004,chl-a,0.46019396030454374,9.109095507012585,6.319287316344037,0.4912353478280006,9.106329778881943,448,0.45652216040841165,9.093008619764774,425
yeong,S04005,do,-0.17908153710189145,2.201330000915196,1.6688246209773896,0.21715228925164165,13.056060881007191,441,-0.1817464860190312,3.4926669863004065,167
yeong,S04005,toc,-1.5738883738091172,1.5315537742088303,1.3645780309288054,0.17642756348074087,21.5649948871057,441,0.2999699321163124,0.8941264012041228,147
yeong,S04005,tn,0.5707926095247062,1.4088628347764294,0.9090387924088423,0.5716067213072137,-0.4728263346000501,441,-0.6867125244313577,2.2245921610404933,158
yeong,S04005,tp,-1.127469503232915,0.11206314089986946,0.09967397949445748,0.19369378673430637,36.81443315000564,441,-0.025015169053614228,0.06396559267883796,153
yeong,S04005,chl-a,-2.9764927795053504,43.89382494017626,40.42116864771016,0.0002414681932294348,42.902748250087484,441,-0.12553642764629047,35.03416927183598,173
yeong,S04006,do,0.6846277217033243,1.4299085321571479,1.017957258230094,0.6957258354654987,2.309844062550397,430,0.5365631930996175,1.4303169550811194,361
yeong,S04006,toc,0.14335927202253695,0.6080871121921181,0.4195093506917346,0.188584234098435,3.5105666282172177,430,0.16084343559138659,0.618207218217831,342
yeong,S04006,tn,0.4696529060753578,0.504138561776021,0.3737457325654622,0.4843818843981627,5.8876510132969475,430,-0.04850353949468533,0.5034762097014094,350
yeong,S04006,tp,0.4556899850494671,0.016220425754598193,0.012164883798094862,0.49266564629932524,14.175660515575562,430,0.3224042043376858,0.017033333975675594,353
yeong,S04007,do,0.14181785918371037,1.6066247877904873,1.0963560718890455,0.34409402496762226,-8.17037896296344,448,0.6287434179137017,0.9013697669583076,389
yeong,S04007,toc,0.5851622436673005,0.36689853661184646,0.2840819953615286,0.6493149325761367,5.6260357483575545,448,-0.29367067653029855,0.3904995039629256,336
yeong,S04007,tn,0.11388196893823255,0.23383514878039569,0.16826510847825102,0.2975497032159178,11.705311053801454,448,-0.11454884338623073,0.24409270961692514,420
yeong,S04007,tp,-0.11226975764677372,105.51729079796247,40.92261181437399,0.0012367760150772485,60.80423093485716,448,-5482555.2190111,27.244686266696835,429
yeong,S04007,chl-a,0.2617193151378858,3.5861021355174407,2.538723662838049,0.2792573898291904,5.437840613593251,448,0.274134987282879,3.558037358130317,437
yeong,S04008,do,0.5268173710107613,1.4112095654620194,1.027530961779185,0.5908450306237661,4.101765642306622,448,0.511860879030738,1.3354561956358586,432
yeong,S04008,toc,0.3471196134860861,0.28297885641219983,0.1746535394324798,0.5123485467848253,5.666329590611598,448,0.26568027523765636,0.3116437349501504,422
yeong,S04008,tn,0.20710530295588858,0.3469211650793394,0.2608054770075336,0.2492924118027904,6.360307933240859,448,0.12068239351083676,0.33905888746801216,412
yeong,S04008,tp,0.1338745833041407,155.0640284657447,59.69936652252751,0.18767453786049557,32.8445458308032,448,-154283770.94046566,38.71866674719706,410
yeong,S04008,chl-a,0.39258994352625387,14.702489425462554,8.600961627884013,0.43887377852864284,22.825041979514623,448,0.4082391289721151,16.150664184116426,424
yeong,S04009,do,0.44799541106021423,2.964721704849048,2.1608746021727776,0.4866179877486699,-2.5952337480787824,430,0.5831410500469599,2.1816362302226135,403
yeong,S04009,toc,0.19366262412921564,0.9821532047491242,0.6687062807819294,0.2325810847915571,5.062878601872301,430,0.07711747018070148,0.9978060398846099,362
yeong,S04009,tn,0.14470906587871424,0.6975896750011401,0.5208721165431042,0.16954173054140853,3.4080626611145304,430,-0.1001533681136264,0.6111944129180725,391
yeong,S04009,tp,0.11926115927814396,0.03679562070605164,0.027805452967425117,0.1506198173741706,7.848741410993456,430,0.05193502161360086,0.038632770353190814,387
yeong,S04009,chl-a,0.23264868070668554,13.441801612312409,9.034972335753777,0.4247316759440991,4.162391958248217,430,0.3597508872304186,13.068485408187842,410
