target,thr,direction,n,n_events,event_rate,leg_brier,leg_bss,leg_pr_auc,leg_f1,leg_alpha,leg_pod,leg_far,leg_csi,leg_ets,leg_hss,chr_brier,chr_bss,chr_pr_auc,chr_f1,chr_alpha,chr_pod,chr_far,chr_csi,chr_ets,chr_hss
chl-a,20.0,high,85584,23058,0.2694195176668536,0.08067445129216057,0.5901368247977332,0.8664593928023244,0.7997959591031073,0.5,0.7819845606730853,0.18156234396986065,0.6663833247098825,0.5726341680722358,0.728248412374483,0.05532025271778241,0.7189477700965112,0.9238234453802517,0.8611930724823604,0.45,0.8734061930783242,0.1506831983805668,0.7562239495324997,0.6792890119507362,0.8090197781519979
do,5.0,low,111716,4947,0.044281929177557376,0.023159388191244665,0.45276892458667684,0.6272291039179356,0.6725040449224327,0.45,0.7141702041641399,0.364568345323741,0.5065959277315745,0.4885395152400752,0.656401137139154,0.01399862649282633,0.6692277288708857,0.8486570547268181,0.7882082375078402,0.5,0.7620780270871235,0.18380601861874865,0.650448585231194,0.6376618344802444,0.7787466509319041
tn,3.0,high,77758,26172,0.3365827310373209,0.057402871368811954,0.7429278588464333,0.9461332511484922,0.8871817038667086,0.5,0.8626394620204799,0.08683869923960524,0.7972386030580176,0.7128616463247154,0.8323633702165047,0.03839018752397937,0.8280739713756139,0.9667658496411383,0.9272831705916139,0.5,0.9252636405318662,0.07068846419525673,0.8644249303919469,0.8026328835140338,0.8905117518431036
toc,6.0,high,107788,3796,0.035217278361227594,0.021612740126122257,0.3639012760287236,0.545451677563938,0.5693039132024869,0.3,0.6151211801896733,0.47016110732924893,0.39792092706203136,0.38156393110626,0.552365218163636,0.018380326925326814,0.4590365481124675,0.6766805295269402,0.6513260530421215,0.45,0.6599051633298209,0.3570328542094456,0.48293811451706187,0.4688891716540775,0.6384268884303554
tp,0.1,high,76298,4349,0.05700018349104826,0.050796635972669715,0.05496674786058575,0.44686310225072573,0.5127338291638495,0.65,0.5231087606346286,0.4972375690607735,0.34474920442491286,0.31809660567295955,0.48266053383932966,0.021048179943543206,0.6084144242472204,0.7899427091262954,0.7637243047158404,0.55,0.7261439411358933,0.19459321601632237,0.6177621283255086,0.600286572887205,0.7502238449756907
