target,thr,direction,n,n_events,event_rate,leg_brier,leg_bss,leg_pr_auc,leg_f1,leg_precision,leg_recall,leg_alpha,leg_lead_day,chr_brier,chr_bss,chr_pr_auc,chr_f1,chr_precision,chr_recall,chr_alpha,chr_lead_day
chl-a,20.0,high,85584,23058,0.2694195176668536,0.08067445129216057,0.5901368247977332,0.8664593928023244,0.7997959591031073,0.8184376560301394,0.7819845606730853,0.5,2.916754478398314,0.05532025271778241,0.7189477700965112,0.9238234453802517,0.8611930724823604,0.8493168016194332,0.8734061930783242,0.45,2.9068970653955013
do,5.0,low,111716,4947,0.044281929177557376,0.023159388191244665,0.45276892458667684,0.6272291039179356,0.6725040449224327,0.635431654676259,0.7141702041641399,0.45,2.9218794225870366,0.01399862649282633,0.6692277288708857,0.8486570547268181,0.7882082375078402,0.8161939813812513,0.7620780270871235,0.5,2.86710875331565
tn,3.0,high,77758,26172,0.3365827310373209,0.057402871368811954,0.7429278588464333,0.9461332511484922,0.8871817038667086,0.9131613007603948,0.8626394620204799,0.5,2.956415821411171,0.03839018752397937,0.8280739713756139,0.9667658496411383,0.9272831705916139,0.9293115358047432,0.9252636405318662,0.5,2.9487528906508094
toc,6.0,high,107788,3796,0.035217278361227594,0.021612740126122257,0.3639012760287236,0.545451677563938,0.5693039132024869,0.5298388926707511,0.6151211801896733,0.3,2.913918629550321,0.018380326925326814,0.4590365481124675,0.6766805295269402,0.6513260530421215,0.6429671457905544,0.6599051633298209,0.45,2.803193612774451
tp,0.1,high,76298,4349,0.05700018349104826,0.050796635972669715,0.05496674786058575,0.44686310225072573,0.5127338291638495,0.5027624309392266,0.5231087606346286,0.65,2.798681318681319,0.021048179943543206,0.6084144242472204,0.7899427091262954,0.7637243047158404,0.8054067839836776,0.7261439411358933,0.55,2.8663711209626346
