river,target,legacy_paper_nse,legacy_nse_obs,chronos_lora_nse,reimpl_gap,chr_beats_reimpl,chr_beats_paper,would_flip
han,do,0.915,-0.1610045494957357,0.8322081727953758,1.0760045494957358,True,False,True
han,toc,0.68,0.1613755980085439,0.717892254819787,0.5186244019914561,True,True,False
han,tn,0.712,-0.8849704785886021,0.7136642135622078,1.596970478588602,True,True,False
han,tp,0.402,0.1144220848298929,0.0835969705742862,0.2875779151701071,False,False,False
han,chl-a,0.702,0.1777510714415797,0.3459806891783442,0.5242489285584202,True,False,True
nak,do,0.511,0.7010219369726366,0.7857476258818799,-0.19002193697263658,True,True,False
nak,toc,0.625,0.2238572153959666,0.2331031942418449,0.4011427846040334,True,False,True
nak,tn,0.778,0.1614161291303905,0.3225267627724719,0.6165838708696095,True,False,True
nak,tp,0.509,0.5382081948926265,0.4506697289556345,-0.029208194892626493,False,False,False
nak,chl-a,0.482,0.2179395760324154,0.1185414593442074,0.26406042396758456,False,False,False
geum,do,0.874,0.9037238986556024,0.9580225013851256,-0.029723898655602432,True,True,False
geum,toc,0.674,-1.1672593671340723,0.7100255440118193,1.8412593671340725,True,True,False
geum,tn,0.51,0.6970357262280154,0.7295463563774806,-0.18703572622801534,True,True,False
geum,tp,0.742,0.6473960934511979,0.7889164740773542,0.09460390654880213,True,True,False
geum,chl-a,0.108,0.2330229464748525,0.2315801820874102,-0.12502294647485251,False,True,False
yeong,do,0.565,0.511860879030738,0.7024100961928743,0.05313912096926199,True,True,False
yeong,toc,0.562,0.2656802752376563,0.4832431805442844,0.29631972476234375,True,False,True
yeong,tn,0.776,0.1206823935108367,0.8181992866664805,0.6553176064891633,True,True,False
yeong,tp,0.209,-154283770.94046566,0.5381395936482319,154283771.14946565,True,True,False
yeong,chl-a,0.602,0.4082391289721151,0.3493563101667793,0.19376087102788486,False,False,False
