target,n,leg_crps_skill,chr_crps_skill,leg_crps_skill_seas,chr_crps_skill_seas,leg_crps_skill_persist,chr_crps_skill_persist,leg_cov80,chr_cov80,leg_cov90,chr_cov90,leg_nse,chr_nse
chl-a,85584,0.32852659578778276,0.5915537361079268,0.3899809842720405,0.5968092049542965,-0.07472111741362725,0.3554879068845985,0.73730391369232,0.7985153471503832,0.8368476836449358,0.890169716706447,0.4285263409894824,0.67153937602099
do,111716,0.4983852238135183,0.6692306008327574,0.14637553243792267,0.44705077810887395,-0.14206638131751778,0.30841350099521136,0.7559097659433167,0.8034054520915912,0.8590987707560697,0.8906555732381471,0.5533327550901033,0.8297923417476394
tn,77758,0.4482965773450313,0.6554026157210465,0.33906982195324625,0.5773572926337727,-0.1933986504859292,0.29768549989321685,0.7551833520077428,0.7888224816164742,0.8583333735158301,0.878760852250317,0.4160769454546679,0.7974216682766417
toc,107788,0.40122596985030196,0.577765987764049,0.3695002421882449,0.5522869126390018,-0.08304035627886996,0.30527299741299246,0.7490212264765441,0.8085054183645104,0.8532906084473243,0.8941171060552408,0.28835883551643693,0.7063425322940053
tp,76298,0.28930199167811144,0.5330190286454418,0.21614430864785356,0.4699428255259351,-0.0150063091660674,0.34308515285597424,0.7484983652735074,0.8067392727292713,0.849472243902743,0.8863999157067683,0.3555751791091037,0.5804223036178765
