river,station,target,n,point_dSE,point_DM,point_p,point_sig5,crps_n,crps_d,crps_DM,crps_p,crps_sig5
han,S01001,do,391,3.763442605029539,3.553439831779573,0.0004268229027387846,True,357,0.2623766331673502,2.89090515249867,0.00407705752656458,True
han,S01002,do,378,3.0652574625565006,3.5844560445663274,0.0003821441038709578,True,344,0.3091548858682268,3.86534439069672,0.00013267474747579152,True
han,S01003,do,434,1.3200353147400903,3.9497194039514287,9.131949951963946e-05,True,400,0.11938636908467672,2.746034610551211,0.006305016351641228,True
han,S01004,do,423,1.6900469074995497,4.243483106958615,2.707682194080915e-05,True,389,0.14652373869203913,3.0065859470664247,0.0028138891198725272,True
han,S01005,do,400,0.8686379813318708,3.048024352654031,0.002456838098632481,True,366,0.15035769949374847,3.9727784902321592,8.560986265686009e-05,True
han,S01006,do,398,0.6415494663722727,2.6562146812444127,0.00822082784549717,True,364,0.15301801889588035,3.703125771215343,0.0002460542657018988,True
han,S01007,do,336,0.9140741229738357,2.1514996208664354,0.03215127141108794,True,302,0.14223418036348304,2.0639934837515264,0.03987509853369724,True
han,S01009,do,391,4.33125306269148,3.9144227308517823,0.00010693372831008894,True,357,0.333962517220905,5.419821213596638,1.1019754443356032e-07,True
han,S01010,do,417,1.2208292916971797,3.5910401747031777,0.00036869607581177814,True,383,0.1639560645033087,3.0294680964828227,0.0026164465197928946,True
han,S01011,do,381,2.0525565337701637,2.878299402630642,0.004224206916701701,True,347,0.2009952200812733,3.4877631282290533,0.0005499092617024402,True
han,S01012,do,390,1.7635356124581734,2.973939774873542,0.0031232003754375847,True,356,0.16391627733095102,4.153246120601019,4.110082061248963e-05,True
han,S01013,do,415,1.6498537384654786,5.177617494411263,3.5140559334000786e-07,True,381,0.029232093908707315,0.7500965208733722,0.45366073550165065,False
han,S01014,do,337,1.6472840526568573,2.696091003269397,0.007369106016784416,True,303,0.19594460547899764,6.222943180626021,1.6267313778705672e-09,True
han,S01015,do,394,2.872299822318526,7.095947434166608,6.033474318202382e-12,True,360,0.2701012595708487,6.180353849441326,1.7372140199573042e-09,True
han,S01016,do,374,3.0886756726900897,4.052209655652448,6.17636830453327e-05,True,340,0.22276801223475087,4.180402794124659,3.708142441973468e-05,True
han,S01017,do,275,2.3843232590623424,3.6079317529387636,0.000366767323638753,True,241,0.14841989842120182,2.128084056605455,0.03434953079185146,True
han,S01018,do,357,0.9131367698502836,3.2853730806075676,0.0011196818374434494,True,323,0.08784821095706681,3.0317752669120277,0.0026285489052694775,True
han,S01019,do,316,1.274515665027565,4.029361202120008,7.017295428860467e-05,True,282,0.15304605112936256,3.4309207221192106,0.0006918881065102846,True
han,S01020,do,386,2.6305101963778017,4.2426242937190715,2.7706621963098132e-05,True,352,0.21955162887782995,3.5423525443700594,0.00045013537541029134,True
han,S01021,do,373,0.7682168951014937,3.6435335731444694,0.00030711691964477745,True,339,0.05432744663244547,1.6661129678951907,0.0966173404736025,False
han,S01022,do,359,2.139776569489907,5.138881673598748,4.55377471437321e-07,True,325,0.12634285375309598,2.4144340831839544,0.01631341401465716,True
han,S01023,do,351,6.121881802903102,4.815572912269696,2.1885758521346924e-06,True,317,0.3964931161643971,5.648103905608412,3.6183547333142e-08,True
nak,S02001,do,426,0.548544471866392,1.6579747463501049,0.09806042479859417,False,394,0.11442363522938935,3.0644889621815317,0.002330817633441408,True
nak,S02002,do,348,0.8459196113839897,1.3261522279810833,0.18566150481346025,False,314,0.05440261188918074,0.9843973167345139,0.3256805105417847,False
nak,S02003,do,284,0.2271746746770219,0.4983219201050388,0.6186442131907561,False,250,0.014273163903937444,0.2240733338256229,0.8228839869094958,False
nak,S02004,do,183,5.293166485977257,1.52247630649854,0.12962536492824692,False,149,0.37416250312068905,1.350696658591297,0.17885417128747658,False
nak,S02005,do,410,2.7306388965593014,3.1149588207220087,0.0019692614322827933,True,376,0.10445747654239183,1.7490738277367155,0.08109637811482814,False
nak,S02006,do,421,1.054444471343167,3.0294330729558436,0.0026014261438705127,True,387,0.11009474895019976,3.241722665374797,0.0012913361249649606,True
nak,S02007,do,430,0.7384696771617418,2.415605203515135,0.016126052642078767,True,396,0.0218835480804447,0.6314655809145996,0.5281013981176181,False
nak,S02008,do,408,1.9505993910245953,3.971162543977106,8.456730691105536e-05,True,374,0.10120700258411666,2.2175757919957695,0.027185837504344404,True
nak,S02009,do,305,0.45321589092947007,1.6168863799213824,0.1069399756363836,False,271,0.1424764070382638,2.792660785532307,0.00560143693414513,True
nak,S02010,do,286,0.672335754552215,1.6555263017855744,0.09891844252367578,False,252,0.18839351012205746,3.3111674320532014,0.0010656670114446406,True
nak,S02011,do,353,3.070145606825421,3.0837877015396016,0.0022053359494855086,True,319,0.27115739954774815,2.9386329081558604,0.0035377617004468155,True
nak,S02012,do,429,0.3842825099441838,1.6499730118539728,0.09968209438519081,False,399,0.08131619474996522,1.733308909343091,0.08381527124387773,False
nak,S02013,do,433,0.47745906755537354,2.532409306110313,0.011681325263791897,True,399,0.021338304555818595,0.790460167515501,0.4297298114527154,False
nak,S02014,do,325,0.6221601655914261,1.4595857134723178,0.14537282846032112,False,291,0.08786413780577224,1.644918328015229,0.10107011510763257,False
nak,S02015,do,243,0.2543350857454709,1.0678745533497027,0.2866411933251457,False,209,0.039153050613441695,0.8574289805467322,0.39219469989511346,False
nak,S02017,do,307,-0.03760077145592731,-0.16452013792054535,0.8694303168662358,False,273,0.012100511030084629,0.3317550912590714,0.7403296779182678,False
nak,S02018,do,310,1.3969223275848648,2.7230547757765273,0.0068357311542237,True,276,0.14499882319424806,2.185796122759452,0.02967391315515376,True
nak,S02019,do,426,0.22308612008361633,1.5747948945680745,0.11604786758346905,False,392,0.0435942219612991,1.8048730840099556,0.07186375923542959,False
nak,S02020,do,366,1.0744582780045124,1.9692685447991969,0.04967824072930453,True,332,0.15521195691360704,1.9744682942789429,0.04915942626106332,True
nak,S02021,do,306,0.476357552882012,1.1599526426629845,0.24697528685577813,False,274,0.11895411305651271,2.3331887398994606,0.020364700431904602,True
nak,S02022,do,422,0.26136620917191683,1.083127789516986,0.2793716470163496,False,388,0.03024026059121662,0.7435074226902638,0.45762566592822856,False
nak,S02023,do,395,0.7646096994700803,1.951275178014462,0.05173264817853899,False,361,0.17568667695356766,3.374364039430524,0.0008204208454901188,True
nak,S02024,do,386,0.9588325269985607,3.4432492293499433,0.0006379105913623027,True,352,0.04009758784600075,1.0312160100566574,0.3031495631791246,False
