mode,river,station,target,nse,rmse,mae,r2,pbias,n_test,crps,cov80,cov90,calib_err
zeroshot,han,S01001,do,0.8303179800242343,0.7873722199535705,0.5949217708246117,0.8412613344485361,-0.8371894484287151,391,0.3543600891646281,0.6521739130434783,0.7851662404092071,0.07168432590427476
zeroshot,han,S01001,toc,0.7145846130887497,0.18048353155835023,0.12241033631175327,0.7303019183485981,1.99166052424307,376,0.08413998554916623,0.7898936170212766,0.8430851063829787,0.028647416413373854
zeroshot,han,S01001,tn,0.7119970877827364,0.16051095647043054,0.1058230207418766,0.7336044821451128,-0.7178150974061099,384,0.0657710083547721,0.7578125,0.8359375,0.04747023809523809
zeroshot,han,S01001,tp,0.03415272679910575,0.002782493046588376,0.0017961498637121133,0.3178378542828739,-4.564868081248323,363,0.0011083933546100749,0.8209366391184573,0.8980716253443526,0.032310114128295944
zeroshot,han,S01001,chl-a,0.3417532026986657,8.528654246966797,4.624771074058433,0.398108662449281,10.059889450838206,402,2.9724438517061116,0.7388059701492538,0.8432835820895522,0.0668088130774698
zeroshot,nak,S02020,do,0.781579404763042,1.4204261063470385,1.0654099966732988,0.8052921056855884,-0.14260084899016667,377,0.6448101033125787,0.7506631299734748,0.843501326259947,0.027775672603258788
zeroshot,nak,S02020,toc,0.2238823274824917,0.5905494190008177,0.34304594080358086,0.3200307230182559,2.9163211905139432,387,0.2295130567539973,0.7338501291989664,0.8294573643410853,0.027648578811369506
zeroshot,nak,S02020,tn,0.3093637480017216,0.5680978316302434,0.32383915040294986,0.37262830123580504,1.5511120772481395,373,0.22346288048961835,0.7533512064343163,0.8579088471849866,0.03431635388739946
zeroshot,nak,S02020,tp,0.43589164902459954,0.014302475832487473,0.008170951117486131,0.479601584934605,10.513981197362291,371,0.005399944969056415,0.8194070080862533,0.8867924528301887,0.03619561031959954
zeroshot,nak,S02020,chl-a,0.12317136272064344,12.327051907137093,7.640901014012183,0.266346832252918,4.5957387763873525,378,4.976170360303096,0.7116402116402116,0.8253968253968254,0.031216931216931216
zeroshot,geum,S03009,do,0.9569012390343555,0.6333441159920509,0.47223612826840405,0.9574195778000759,0.1089081593391928,433,0.2936794270535757,0.6073903002309469,0.7274826789838337,0.07987462883536788
zeroshot,geum,S03009,toc,0.703383476765964,0.12487325582498715,0.08270513629198935,0.7221413797738823,0.7046405758506312,420,0.05110131537804187,0.7119047619047619,0.819047619047619,0.03979591836734694
zeroshot,geum,S03009,tn,0.7252264448814723,0.13632672464142687,0.10224119145906817,0.7461084531638372,1.0241035269928285,424,0.06281255572005306,0.8254716981132075,0.8891509433962265,0.025067385444743923
zeroshot,geum,S03009,tp,0.7823094022987163,0.006141776203996832,0.0037364808681159723,0.7919709544715101,-0.3066180183022687,428,0.0023268432507091087,0.7920560747663551,0.9018691588785047,0.019692923898531382
zeroshot,geum,S03009,chl-a,0.23450840110537374,1.3528692789787902,0.865621989898392,0.30578136269849393,1.6902368165088049,425,0.5476582498782265,0.6941176470588235,0.8329411764705882,0.03915966386554621
