mode,river,station,target,nse,rmse,mae,crps,cov80,cov90,calib,n
lora512,han,S01001,do,0.8648012696675219,0.6993584414158998,0.5328306631709323,0.3070194653928485,0.7128463476070529,0.8387909319899244,0.04980208708168408,397
lora512,nak,S02020,do,0.8022809104807596,1.3409040935382717,0.9970653284554177,0.5982027274188656,0.7696476964769647,0.8536585365853658,0.050135501355013545,369
lora512,geum,S03009,do,0.9582346043547751,0.6230326991279103,0.4713761666591827,0.28558440097259,0.6023529411764705,0.7458823529411764,0.07714285714285714,425
lora512,yeong,S04008,do,0.7001296636614943,1.0052896074413682,0.659841178664093,0.41035384225341653,0.7078384798099763,0.8099762470308789,0.04129623345775363,421
lora512,han,S01001,toc,0.7318387636524464,0.17407190207975703,0.11927031552087365,0.07999641418079571,0.8219895287958116,0.8717277486910995,0.01278982797307405,382
lora512,nak,S02020,toc,0.31966719829198664,0.5623479425352716,0.32232111968771476,0.22232296124365597,0.7473404255319149,0.8297872340425532,0.024012158054711234,376
lora512,geum,S03009,toc,0.7430674675574103,0.116270542243286,0.07905957656023424,0.04886253758292095,0.738498789346247,0.8256658595641646,0.03289519197509512,413
lora512,yeong,S04008,toc,0.48903717409743597,0.2634098956833753,0.15134988177546732,0.09271994283515364,0.8019323671497585,0.8768115942028986,0.023257418909592795,414
lora512,han,S01001,tn,0.7227507515055689,0.15920995820068579,0.10521166234508926,0.06460439141815605,0.7190721649484536,0.8427835051546392,0.03924889543446245,388
lora512,nak,S02020,tn,0.37506580333155326,0.536951229381299,0.310224514073988,0.21520187655206086,0.6925207756232687,0.8005540166204986,0.06181242580134548,361
lora512,geum,S03009,tn,0.7510550541929684,0.12820603939014816,0.09366640302160577,0.056627126209722156,0.8361445783132531,0.908433734939759,0.0414802065404475,415
lora512,yeong,S04008,tn,0.8380372721118965,0.14622184586630557,0.10515870151186948,0.06606586371734484,0.8627450980392157,0.9191176470588235,0.02920168067226891,408
lora512,han,S01001,tp,0.3024851238992149,0.002468067298458752,0.0015507080854649876,0.0010066939456800947,0.8360655737704918,0.8770491803278688,0.031303669008587026,366
lora512,nak,S02020,tp,0.4713221374232065,0.014037962735560823,0.008003166032603636,0.005262210963336565,0.7933884297520661,0.8815426997245179,0.044864226682408505,363
lora512,geum,S03009,tp,0.8175186306007004,0.005658816504826983,0.0034118796355969735,0.0021267827946347133,0.8242280285035629,0.9026128266033254,0.01316593145571768,421
lora512,yeong,S04008,tp,0.5919816849406305,0.0019944956972608023,0.0014448744227599393,0.0009020729216672305,0.7970297029702971,0.8886138613861386,0.016124469589816125,404
lora512,han,S01001,chl-a,0.3739369782386699,8.24765274960407,4.3671112572763064,2.7096349097658647,0.7783251231527094,0.8891625615763546,0.053131597466572845,406
lora512,nak,S02020,chl-a,0.1838269233155616,11.963774871638817,7.457599400139157,4.703818682598579,0.7438692098092643,0.8474114441416893,0.024094978590891398,367
lora512,geum,S03009,chl-a,0.3319142409166044,1.1835174187927335,0.7925207253978179,0.49234835267504334,0.7475961538461539,0.8677884615384616,0.021359890109890107,416
lora512,yeong,S04008,chl-a,0.299205157270206,17.77756547046032,7.46922466741176,4.633656453660097,0.7511961722488039,0.868421052631579,0.04408749145591253,418
