river,station,target,nse,rmse,mae,r2,pbias,n_test,nse_obs,rmse_obs,n_obs
geum,S03002,do,0.13639484330589347,2.7151051247709725,1.9849723823773846,0.1644000830915911,4.099058744449142,448,-0.36996697816915325,2.2355915543867297,411
geum,S03002,toc,0.13206196938488057,1.117245737919257,0.7826996590264902,0.1825205041945773,-5.80799587751241,448,0.2380037118976649,0.8680130200014783,369
geum,S03002,chl-a,0.39433651793797186,11.799238809003587,6.8231235514247635,0.4190525108881952,15.959667361825355,448,0.49721251143815515,11.258614558779668,405
geum,S03003,do,0.5463683141675855,1.23459014066444,0.8984380040354679,0.6061193661484394,3.853697482872218,448,0.5372758971043909,1.249778618290306,447
geum,S03003,toc,0.4540353613063868,0.24153404883580593,0.15062197235873204,0.5196526051608142,0.6267738993973804,448,-0.07387013813382715,0.2936629679622717,221
geum,S03003,tn,0.47663154855409406,0.4308336633745164,0.3249438174734056,0.4779795475053974,1.377021851440537,448,0.500238062352115,0.37001292071840786,427
geum,S03003,tp,0.3453507579002655,0.0055204828138884846,0.0031469741083198347,0.42216215046510314,2.168413743401979,448,0.3834738713851138,0.0055695947194631425,434
geum,S03003,chl-a,0.3979456312809245,7.77413711715192,3.5212525231537706,0.5051494087595754,22.62142168335206,448,0.3952507367635171,8.0949694818606,443
geum,S03004,do,0.22392051584549544,3.108832653223202,2.3220610874669627,0.22760305623615268,0.1680258585981122,354,0.1698569861166167,2.4926061600688914,325
geum,S03004,toc,0.2923654014754833,0.5847279071264008,0.4203744909142598,0.30484873798121676,2.251596898774234,354,-0.27811721244725973,0.5034316734594423,312
geum,S03004,tn,0.6998966000230376,0.642582604223591,0.4615799052542904,0.7078422262886598,1.4984971695273728,354,0.7451729809105729,0.5909275340406636,320
geum,S03004,tp,0.16179974472189562,0.028459716585815465,0.018890495928789067,0.20040995872793796,7.930755782426554,354,0.14088901606431847,0.031099182210184474,328
geum,S03004,chl-a,0.3740788835776041,17.277457316275854,12.515725432182368,0.40719405978666257,13.027667918111982,354,0.33970332578445883,18.216639587152198,327
geum,S03005,do,0.4175827090098768,2.7802675468482323,2.094707661774189,0.436048832090853,-3.3827000646552965,446,0.35792626533312966,2.4391990631245464,409
geum,S03005,toc,0.173185904336565,0.5354452363477549,0.39280059893681923,0.1778639422402821,-0.9304071067156064,446,-0.10326716715963702,0.43232793638952266,408
geum,S03005,tn,0.7342813138490758,0.6198416576268113,0.515241005407045,0.7804905394740602,2.2540072563993685,446,0.6989839588431006,0.6238060202431861,405
geum,S03005,tp,0.0759438524653957,0.02446973234689318,0.01723245174510288,0.15703548672302353,-4.06948428095484,446,0.261960966702107,0.023075980331042092,401
