river,station,target,horizon,n,leg_crps,chr_crps,seas_crps,persist_crps,crps_clim,leg_crps_skill,chr_crps_skill,leg_crps_skill_seas,chr_crps_skill_seas,leg_crps_skill_persist,chr_crps_skill_persist,leg_cov80,chr_cov80,leg_cov90,chr_cov90,leg_nse,chr_nse
geum,S03002,chl-a,1,370,2.674386268382715,1.194640221659604,5.229877717098836,3.6373408498214723,7.325732344077487,0.6349325715476308,0.8369254887362333,0.4886331166713638,0.7715739666811359,0.2647413649688676,0.6715622013487575,0.7324324324324324,0.9486486486486486,0.8405405405405405,0.9621621621621622,0.7642233304004163,0.9546783376026697
geum,S03002,chl-a,2,369,3.742207945073727,2.5314982099981145,5.234548236685164,4.952783252590345,7.334533130760043,0.4897823926407243,0.6548521678385564,0.2850943814315633,0.5163864968792008,0.24442323553801348,0.48887361289753173,0.7588075880758808,0.8184281842818428,0.8401084010840109,0.9105691056910569,0.5935437062401735,0.8091870786912108
geum,S03002,chl-a,3,369,4.195282288110243,3.313612441172907,5.286498636401108,5.675238106293082,7.334611506249876,0.42801574636428763,0.548222501171418,0.20641570599812598,0.37319336122467694,0.26077422488084956,0.41612803214396366,0.7533875338753387,0.7723577235772358,0.8536585365853658,0.8861788617886179,0.5512392267514123,0.6516752046548311
geum,S03002,chl-a,4,367,4.32868522184914,3.8034850575623955,5.358766394192334,6.028497815700341,7.367752638047576,0.4124822813003364,0.4837659128346764,0.19222356351632797,0.29023122529011613,0.28196287795349073,0.3690824524051788,0.7438692098092643,0.7874659400544959,0.8310626702997275,0.8746594005449592,0.5517160834769583,0.5421529182852811
geum,S03002,chl-a,5,366,4.4663770639391,4.069389779089994,5.486244430887135,6.2176642877746735,7.458936584299588,0.4012045801085862,0.45442762073407283,0.18589535697794657,0.2582558377859283,0.2816632006457792,0.34551149905418177,0.73224043715847,0.7704918032786885,0.8415300546448088,0.8852459016393442,0.5134388612434493,0.4982719367513321
geum,S03002,do,1,376,0.5933963007624714,0.2552881801707919,0.9208736176056768,0.6965182573731921,1.04357709802692,0.4313824039599954,0.7553719982419482,0.3556159179526337,0.7227760951230685,0.14805348678099084,0.6334795571137349,0.75,0.949468085106383,0.8670212765957447,0.9840425531914894,0.3392351560161907,0.891236380171679
geum,S03002,do,2,375,0.7017125228037034,0.5225867134558156,0.9203065967755545,0.8279804724377511,1.0433500397351283,0.3274428561081525,0.4991261862715959,0.23752309799552818,0.4321602004301782,0.15250112030092677,0.3688417410168999,0.776,0.864,0.8693333333333333,0.9333333333333333,0.06247739980434619,0.577201813123186
geum,S03002,do,3,374,0.7166378646609094,0.6301555855444059,0.9216211896872065,0.8655397684771631,1.0465370098225593,0.31522931541387567,0.397865933426235,0.2224160287545769,0.3162531497802503,0.1720335786283197,0.2719507427681732,0.7647058823529411,0.8582887700534759,0.8716577540106952,0.9117647058823529,-0.02297507409326771,0.44631816350404063
geum,S03002,do,4,373,0.7390428180644909,0.6881019072197914,0.9187927643614867,0.9038333532146724,1.046294058763903,0.29365668105044984,0.34234367340982663,0.19563709387928485,0.2510804025562974,0.18232402529080105,0.238684980176475,0.7721179624664879,0.8445040214477212,0.8659517426273459,0.9168900804289544,-0.1270849163117087,0.3617128223032259
geum,S03002,do,5,372,0.7612161019121767,0.7305824464561069,0.9199851269929269,0.9427503248376735,1.054849510993153,0.2783652132563602,0.3074059959811186,0.1725778172085285,0.20587580709690767,0.19255811230481845,0.22505203423621045,0.7634408602150538,0.8494623655913979,0.8682795698924731,0.9220430107526881,-0.14779627062766054,0.3164273226244121
geum,S03002,toc,1,335,0.2990198665370822,0.12683507047161116,0.4121583687233476,0.3826759779007452,0.5182858514316332,0.42305994711004424,0.7552796972534337,0.27450249897074686,0.6922661770414118,0.21860821215530002,0.668557532230287,0.7761194029850746,0.9343283582089552,0.8835820895522388,0.9641791044776119,0.4220562645476361,0.8534243713749048
geum,S03002,toc,2,335,0.3439421050613007,0.2658097716942006,0.4131433012824038,0.45225103693004376,0.5198403331298611,0.3383697201975656,0.48867035750417853,0.16749925753679518,0.35661604370899247,0.23948852080906735,0.41225171422809304,0.7402985074626866,0.8388059701492537,0.8656716417910447,0.9253731343283582,0.3278706365170275,0.5257626827753361
