mode,river,station,target,nse,rmse,mae,r2,pbias,n_test,crps,cov80,cov90,calib_err
lora_wx,han,S01001,do,0.8472786339518174,0.7432987710376109,0.5561660219817666,0.8570011397977185,-0.542052146713945,397,0.3173501037659698,0.7481108312342569,0.8639798488664987,0.04440446203670385
lora_wx,nak,S02020,do,0.7995101296816561,1.350266935692775,1.0079848213998552,0.8164558432624528,-0.7698145661132055,369,0.6149850641958413,0.7859078590785907,0.8726287262872628,0.033488192024777395
lora_wx,geum,S03009,do,0.9584144755312038,0.6216896429723444,0.4549000946246337,0.960717594006442,0.5182449557882077,425,0.2782278449762644,0.6588235294117647,0.8094117647058824,0.0492436974789916
lora_wx,yeong,S04008,do,0.6849759822392298,1.030377276961332,0.6940139852861975,0.7003251879149835,-1.0262037594908477,421,0.4259274186631567,0.7197149643705463,0.8527315914489311,0.036545639633525605
lora_wx,han,S01001,toc,0.7235778599988838,0.17673277134470491,0.12124473827903899,0.7333564935904697,1.5679018584487374,382,0.08057768622979015,0.8010471204188482,0.8717277486910995,0.015258040388930444
lora_wx,nak,S02020,toc,0.2903218421786017,0.5743480152856418,0.32935691477369894,0.3423553728838642,3.1908939356792314,376,0.22593614339292914,0.7393617021276596,0.8271276595744681,0.024772036474164125
lora_wx,geum,S03009,toc,0.7388751946966821,0.1172152757817461,0.0797516481519145,0.7484666081073791,0.3212405203479351,413,0.04897953126367915,0.7530266343825666,0.8523002421307506,0.019750951227948805
lora_wx,yeong,S04008,toc,0.5098131865970479,0.25799913259343654,0.1506471178247849,0.5280322668661018,0.34765205700446167,414,0.09177181694483254,0.7995169082125604,0.8792270531400966,0.018978605935127676
lora_wx,han,S01001,tn,0.6951891078888963,0.1669361066604142,0.11059234596059037,0.7212030622349374,-0.4911724626464092,388,0.06815323553925176,0.7603092783505154,0.8582474226804123,0.03026509572901325
lora_wx,nak,S02020,tn,0.3301290605384062,0.555921236649962,0.33266605465112553,0.3888827055111045,1.2744407402151559,361,0.22459094790792258,0.7451523545706371,0.8476454293628809,0.03450732093391372
lora_wx,geum,S03009,tn,0.7328365198163296,0.132814463799535,0.09761461217191346,0.7582397798202841,1.204693776015439,415,0.058819576934500836,0.8506024096385543,0.944578313253012,0.04096385542168674
lora_wx,yeong,S04008,tn,0.8261665153898937,0.15148563041289617,0.11083938292213467,0.8344076528488642,-1.3131215973750248,408,0.06940117165595068,0.8627450980392157,0.9264705882352942,0.02990196078431372
lora_wx,han,S01001,tp,0.27781114918242333,0.0025113407878435087,0.0015821000495314114,0.36964560905667526,-0.9459787618757534,366,0.0010110382221329116,0.8415300546448088,0.8934426229508197,0.03052302888368461
lora_wx,nak,S02020,tp,0.3841287703650019,0.015151425012082526,0.008117526045060835,0.43319336244599843,13.333131247836128,363,0.005506647274130166,0.8292011019283747,0.8732782369146006,0.042502951593860694
lora_wx,geum,S03009,tp,0.7864559007061668,0.0061215321335054045,0.0036210726070209716,0.7951644091670698,1.504300552359558,421,0.0022475303980389006,0.8171021377672208,0.9121140142517815,0.013335595520868687
lora_wx,yeong,S04008,tp,0.541817615628738,0.0021135497194225855,0.0015121800553029347,0.5949246320405551,3.356952334001088,404,0.0009397878134594481,0.8217821782178217,0.8935643564356436,0.01867043847241865
lora_wx,han,S01001,chl-a,0.3202602604300574,8.593947008841045,4.459966076192694,0.41699870181781495,6.059482672454907,406,2.7820668000033457,0.7807881773399015,0.8793103448275862,0.04890921885995776
lora_wx,nak,S02020,chl-a,0.1361372380453284,12.308339776688133,7.581588107444312,0.2758268125176616,5.5731703147615015,367,4.832123752381622,0.7329700272479565,0.8610354223433242,0.022537952510704565
lora_wx,geum,S03009,chl-a,0.26048401945154886,1.2451805509499378,0.815042694425801,0.36426345693830087,0.0850226437284199,416,0.5014257843448255,0.7572115384615384,0.8822115384615384,0.017788461538461534
lora_wx,yeong,S04008,chl-a,0.29163577258298823,17.87331661497875,7.425180854276656,0.41291466636005447,-1.9220961695332,418,4.623373953078484,0.7440191387559809,0.868421052631579,0.04101161995898838
