target,n,leg_crps,chr_crps,crps_clim,leg_crps_skill,chr_crps_skill,leg_cov80,chr_cov80,leg_cov90,chr_cov90,leg_calib,chr_calib,leg_winkler80,chr_winkler80,leg_sharp80,chr_sharp80,leg_pit_dev,chr_pit_dev
chl-a,85584,4.305943663440067,2.81549269401649,10.211983253493635,0.5783440340085795,0.7242952104280744,0.7371120770237427,0.800768835296317,0.8367335015890821,0.8920826322677136,0.024715567662847524,0.011778903933979647,37.4746305618189,23.21265392350714,18.87997690095481,14.448813123343074,0.16256309590577678,0.12599551318003369
do,111716,0.5821073491074236,0.3876250538255021,1.5068747765199213,0.6136989229776733,0.7427622654082049,0.754869490493752,0.8046027426689104,0.858489383794622,0.8917702030147875,0.019785118386930128,0.01261617468785645,4.828297037940212,3.1594959041202872,2.710820408369183,2.1061314304237073,0.11691431845035627,0.12462673207060761
tn,77758,0.18422637464328148,0.11805070235171866,0.7248963858122073,0.7458583347234298,0.8371481708803814,0.7544304123048432,0.792484374598112,0.8586897811157694,0.881594176804959,0.023748773667753065,0.009778690662972654,1.5384646929326407,0.9859616656770832,0.8856591302396825,0.5737962341034039,0.11412330564057717,0.11237943362740813
toc,107788,0.22157847867434996,0.1591368058378627,0.7653721306920336,0.710495757829589,0.7920791737034186,0.7489702007644635,0.8117230118380525,0.8530726982595466,0.8964912606227038,0.02106065345201427,0.012150305626388299,1.8516000112192927,1.3483354619221122,1.030485921834234,0.8286009303961077,0.12999591791294024,0.14517014881062826
tp,76298,1.178064962931002,0.004435998795065137,0.015670427775809816,-74.17758798834845,0.7169191001975762,0.750622558913733,0.8116595454664605,0.851332931400561,0.8897874125140894,0.019760113539767008,0.014854536535314527,10.636726502550157,0.037956007618185114,3.9590700354601966,0.01970984099390029,0.14303127211722455,0.17515006946446826
