river,station,target,n,nse,rsr,pbias,pers_nse,crps,crps_skill,cov80_raw,cov80_cal,cov90_raw,cov90_cal
geum,S03002,chl-a,407,0.45132622749642526,0.7407251666465604,10.05740128998131,0.40349396911947777,4.144759480357373,0.43036654907781713,0.7641277641277642,0.8452088452088452,0.8648648648648649,0.9238329238329238
geum,S03003,chl-a,433,0.44380957925434705,0.7457817514163597,7.428630840823415,0.33653293039154175,2.4003520208364355,0.4639500646715504,0.7598152424942263,0.8244803695150116,0.8475750577367206,0.9053117782909931
geum,S03004,chl-a,319,0.3320122044404118,0.8173052034335694,5.095094905027765,0.1465403719766325,7.831756399339639,0.37742560629771604,0.64576802507837,0.8087774294670846,0.7554858934169278,0.9028213166144201
geum,S03005,chl-a,393,0.27215785682026705,0.8531366497693865,3.2386271267692717,0.1952691930225804,9.795694423314659,0.34477496147472164,0.6513994910941476,0.7938931297709924,0.7938931297709924,0.8854961832061069
geum,S03006,chl-a,311,0.5994228646669654,0.6329116331155832,1.877946331762243,0.5984435212681618,11.239039271647334,0.5491478874881843,0.6591639871382636,0.8263665594855305,0.7942122186495176,0.909967845659164
geum,S03007,chl-a,431,0.384709177559308,0.784404756768272,5.046008877149856,0.19014321189817862,3.7061736798647096,0.37198466262659,0.7726218097447796,0.8306264501160093,0.8793503480278422,0.9164733178654292
geum,S03008,chl-a,409,0.6598624051453862,0.5832131641643677,4.29153738848897,0.5711216428482844,2.1006942394347843,0.6004440707087837,0.784841075794621,0.7603911980440098,0.8948655256723717,0.8655256723716381
geum,S03009,chl-a,416,0.33204700203887205,0.8172839151489083,-0.11751963580791647,0.14008168097538887,0.4923710374807473,0.35872491100341597,0.7475961538461539,0.7956730769230769,0.8653846153846154,0.8798076923076923
geum,S03013,chl-a,161,0.2900422585958985,0.8425899010812445,10.863497422104357,0.10230237773344064,3.8515919670365513,0.33035345279828543,0.6956521739130435,0.8322981366459627,0.8074534161490683,0.9130434782608695
geum,S03014,chl-a,379,0.6550841165553839,0.5872953970912901,13.321994157754178,0.5977079404144874,0.5529397635840295,0.5597734690099045,0.6939313984168866,0.762532981530343,0.841688654353562,0.8970976253298153
han,S01001,chl-a,406,0.37396124495271565,0.7912261086739266,8.11151863272085,0.22097038623319265,2.709713123711676,0.45438366842542155,0.7807881773399015,0.8029556650246306,0.8891625615763546,0.9014778325123153
han,S01002,chl-a,378,0.6834852447870048,0.5625964408108135,6.737887442980971,0.6728353915637275,3.7305461831446496,0.6017605629000646,0.701058201058201,0.8095238095238095,0.8492063492063492,0.917989417989418
han,S01003,chl-a,412,0.6755097445902996,0.5696404615278838,4.305884244028842,0.6387950910333897,11.207579464929667,0.5448046846988502,0.6432038834951457,0.7766990291262136,0.7645631067961165,0.9077669902912622
han,S01005,chl-a,410,0.3116811698471711,0.8296498238129318,3.4775822914598367,0.14014854317252956,1.7460973237403585,0.3928149336214648,0.7219512195121951,0.8195121951219512,0.8731707317073171,0.926829268292683
han,S01010,chl-a,384,0.4387912962316791,0.7491386412195815,6.632071858399429,0.38492463197488125,0.9155889073081248,0.385917507953756,0.8177083333333334,0.8020833333333334,0.9140625,0.8932291666666666
han,S01011,chl-a,377,0.6321215742280123,0.6065298226567163,6.547127785657405,0.5886013503716818,1.761373992476573,0.5589050925994914,0.6684350132625995,0.8010610079575596,0.8037135278514589,0.9045092838196287
han,S01012,chl-a,394,0.61483430928824,0.620617185317777,-1.8336041567335617,0.5684767670711313,3.7228411179861163,0.5481505001466318,0.7030456852791879,0.7868020304568528,0.817258883248731,0.8857868020304569
han,S01014,chl-a,337,0.4345040006292139,0.7519946804138884,1.5860088865435649,0.4299037167994577,0.3827284984105974,0.4188081471046472,0.8249258160237388,0.8071216617210683,0.9020771513353115,0.9198813056379822
han,S01020,chl-a,413,0.6342009516604169,0.6048132342629278,3.5223255838418392,0.6146616521768007,2.8991396888862977,0.5647516562157259,0.7215496368038741,0.8401937046004843,0.8401937046004843,0.9152542372881356
