river,station,target,n,nse,rsr,pbias,pers_nse,crps,crps_skill,cov80_raw,cov80_cal,cov90_raw,cov90_cal
geum,S03003,tp,425,0.3489563543402191,0.8068727567961264,0.7410186796478367,0.2959573004605034,0.0018872986044500867,0.4773051311175617,0.8682352941176471,0.8094117647058824,0.9364705882352942,0.908235294117647
geum,S03004,tp,318,0.34887962676708584,0.8069203016611456,0.46340328315809703,0.19414439909268044,0.011865292126100144,0.3161832077385751,0.7704402515723271,0.8238993710691824,0.8553459119496856,0.9213836477987422
geum,S03005,tp,389,0.14364978634006142,0.9253919243541834,5.382123271974549,-0.09417723418096169,0.010143814179109503,0.29946037849739693,0.7095115681233933,0.7969151670951157,0.8277634961439588,0.9048843187660668
geum,S03007,tp,400,0.4712942798629961,0.7271215305139876,6.318355453517513,0.3906233593758218,0.005344557263666257,0.4857261288768453,0.765,0.8225,0.835,0.91
geum,S03008,tp,408,0.6831579948990741,0.5628872045986886,2.58082680070187,0.7119234900452873,0.0007194099130501808,0.551948454379714,0.8137254901960784,0.8088235294117647,0.8848039215686274,0.8946078431372549
geum,S03009,tp,421,0.8174164954260694,0.4272979107998664,1.1903600758748984,0.8366163541832384,0.0021272668322978644,0.6381195840239198,0.8194774346793349,0.828978622327791,0.9002375296912114,0.9073634204275535
geum,S03010,tp,371,0.4839149804796482,0.718390575884979,2.6348596223731833,0.27004006968558636,0.006888758396420519,0.5151057750186627,0.7762803234501348,0.816711590296496,0.8598382749326146,0.8867924528301887
geum,S03011,tp,381,0.42397381667806255,0.7589638880223073,-1.4626649322539644,0.3506282761660987,0.0027912597554832197,0.43884571707483233,0.800524934383202,0.8057742782152231,0.8713910761154856,0.8740157480314961
geum,S03012,tp,425,0.07948632681558665,0.9594340379538415,8.607375845882192,-0.34948240606762115,0.0064960809675920815,0.21125760178070363,0.8094117647058824,0.8117647058823529,0.9223529411764706,0.9129411764705883
geum,S03013,tp,153,0.023527066004041752,0.9881664505517065,11.270184453819535,-0.47935758149507546,0.011510264905452238,0.15929318007413307,0.6470588235294118,0.7908496732026143,0.7712418300653595,0.9019607843137255
geum,S03014,tp,377,-0.10610802583166912,1.051716704170695,8.995158128134676,-0.3430388047169455,0.004788148983272694,0.11379165161316995,0.7241379310344828,0.7851458885941645,0.830238726790451,0.8753315649867374
