river,station,target,n,nse,rsr,pbias,pers_nse,crps,crps_skill,cov80_raw,cov80_cal,cov90_raw,cov90_cal
geum,S03002,do,409,0.27229280201948425,0.8530575584217724,-0.9350067612403343,0.06538313733200396,0.7495619917518898,0.30862141514054353,0.8361858190709046,0.8166259168704156,0.8997555012224939,0.9070904645476773
geum,S03003,do,436,0.7346830082630716,0.5150893046229249,-0.5782829069872587,0.7053711993324913,0.35556946872976797,0.6537601894300864,0.731651376146789,0.7912844036697247,0.8646788990825688,0.8830275229357798
geum,S03004,do,317,0.34484103896307705,0.80941890331084,-0.22978001082332705,0.0972197685649071,1.0059274488365515,0.3535961858824891,0.7255520504731862,0.8138801261829653,0.8422712933753943,0.9053627760252366
geum,S03005,do,400,0.3304658781818314,0.8182506473069048,-2.2437554635697423,0.21058953096727773,1.068777736984844,0.3512906923365008,0.6775,0.82,0.805,0.91
geum,S03006,do,355,0.41215007803244585,0.7667137157815518,-1.152085430281732,0.3506422202351259,0.7540484712767616,0.36393993752806897,0.8140845070422535,0.8140845070422535,0.8901408450704226,0.9154929577464789
geum,S03007,do,435,0.6534070050126168,0.5887214918680845,-1.028996878550818,0.6303786393830331,0.47944122661196625,0.5999781954120297,0.728735632183908,0.7862068965517242,0.8551724137931035,0.8850574712643678
geum,S03008,do,408,0.861222222304904,0.37252889511431997,-0.3516816964080967,0.8586766133181666,0.25462713530377823,0.7177540599588457,0.7769607843137255,0.7769607843137255,0.8480392156862745,0.8823529411764706
geum,S03009,do,425,0.958272940312082,0.20427202375244147,-0.38869302911189985,0.959931514482856,0.2855385649796678,0.8312724652662467,0.6094117647058823,0.8023529411764706,0.7458823529411764,0.9011764705882352
geum,S03010,do,385,0.2718456213989109,0.853319622768098,-1.2690662216361162,0.24695737832341502,0.8516020498447434,0.3467978384159094,0.7038961038961039,0.7896103896103897,0.8077922077922078,0.8883116883116883
geum,S03011,do,400,0.7500454850054215,0.4999545129255046,-0.6873285590682674,0.7184015849540574,0.48298895894073224,0.6006270690713565,0.76,0.805,0.865,0.89
geum,S03012,do,257,0.07150058402029058,0.963586745435879,-1.9354639103094133,-0.18239765704115318,0.6522487007281873,0.22779780173151354,0.7859922178988327,0.8054474708171206,0.9066147859922179,0.9260700389105059
geum,S03013,do,164,-0.1613335304270287,1.0776518595664504,-2.5932423053247358,-0.42449910817193226,0.7278480285602527,0.10470767683414361,0.676829268292683,0.7621951219512195,0.823170731707317,0.8963414634146342
geum,S03014,do,375,0.8005274314402216,0.4466235199357266,-1.0425227472904977,0.808187839639283,0.38119878045241457,0.6590340887947986,0.7546666666666667,0.8213333333333334,0.8826666666666667,0.9173333333333333
han,S01001,do,397,0.8649600796037517,0.3674777821804311,-0.5318798291648593,0.8418011339042114,0.306974420498875,0.7161083378275581,0.7128463476070529,0.836272040302267,0.8387909319899244,0.9143576826196473
han,S01002,do,377,0.6080097800636397,0.6260912233343958,-0.6091688011178437,0.44590111870880345,0.5156209283329688,0.5241254519158893,0.7453580901856764,0.8116710875331565,0.8647214854111406,0.9071618037135278
han,S01003,do,434,0.4704966477679593,0.7276698098945982,0.5708284031984026,0.34705728585690954,0.5812062156449025,0.41761770501116824,0.8433179723502304,0.815668202764977,0.923963133640553,0.9170506912442397
han,S01004,do,424,0.7941699565958771,0.4536849605223022,-0.4723764751503129,0.7689334908159017,0.43802208581940677,0.6526265521930452,0.7311320754716981,0.7995283018867925,0.8608490566037735,0.9009433962264151
han,S01005,do,406,0.8029635915009193,0.44388783324065173,-1.3174388165272155,0.7485898609239744,0.41210733665295024,0.6548376253576657,0.7832512315270936,0.8103448275862069,0.8940886699507389,0.8990147783251231
han,S01006,do,398,0.19014978160610307,0.8999167841494551,-0.140011983334573,0.14447197295219394,0.46632748043776673,0.269139975937553,0.8291457286432161,0.7964824120603015,0.9346733668341709,0.8919597989949749
han,S01007,do,334,0.7796213068150952,0.46944509070274104,-0.623942602097746,0.7830056334623197,0.40262667830125837,0.616802575246623,0.7035928143712575,0.7994011976047904,0.844311377245509,0.8982035928143712
han,S01009,do,390,0.8547804122943815,0.3810768789963759,-0.5575414130233085,0.8621908626944106,0.4405119086430493,0.6867297410445428,0.8179487179487179,0.8333333333333334,0.9,0.8846153846153846
han,S01010,do,420,0.809021128912021,0.4370112940050622,-1.322066758536652,0.729576657922254,0.4098008736110508,0.6583642456338561,0.8595238095238096,0.8095238095238095,0.9333333333333333,0.9023809523809524
han,S01011,do,381,0.7557392977026137,0.4942273791458606,-0.7792262523788289,0.7035131053661138,0.4785538688136672,0.6002752111090914,0.7585301837270341,0.8031496062992126,0.8766404199475065,0.905511811023622
han,S01012,do,393,0.8182686442560091,0.42629960795664695,-0.29828029531798933,0.8017884276584333,0.3322251194504334,0.6591658965243989,0.7073791348600509,0.7811704834605598,0.8320610687022901,0.8854961832061069
han,S01013,do,412,0.7432594380709108,0.5066957291403681,-1.4009608587758708,0.7071474754253539,0.5063184376819508,0.5666282422538778,0.9004854368932039,0.8058252427184466,0.9660194174757282,0.8980582524271845
