target,n,nse,rsr,pbias,crps_skill,cov80_raw,cov80_cal,cov90_raw,cov90_cal,pers_nse,vs_persistence,pr_auc,f1,bss,event_rate,lead_day,rating,slo_pass
chl-a,18806,0.4366476484304465,0.750566660816735,4.100606222923579,0.4338535796087466,0.746138103135489,0.8130614213744606,0.8588162257301358,0.9066842857867744,0.3589964358289402,0.07765121260150631,0.7794320626531974,0.7404292917752084,0.548614248707471,0.23647399383695958,1.0761254217759855,Unsatisfactory,True
do,24638,0.7272563553381703,0.5222486425658085,-0.8899865894728209,0.5508685516241332,0.7575549596215563,0.8047100663361972,0.8645749846342821,0.9015383828380139,0.6774159173952653,0.04984043794290505,0.6913931181391617,0.6796323026665654,0.49824684326026814,0.03593766269827497,1.0909903867650346,Good,False
tn,17225,0.679239801310442,0.5663306874383104,0.13749127747231954,0.5281059220368167,0.7349629627394605,0.8100420415266728,0.8437315569756761,0.9071715542604909,0.6435275215867948,0.03571227972364721,0.7160233862385966,0.7964945106347852,0.441603297823171,0.2942218760648396,1.0175147683697792,Satisfactory,True
toc,23938,0.48667014140003306,0.7164704171143195,0.4442528279117591,0.42699889616602954,0.7648978843206461,0.8085095168894026,0.8667297230520785,0.9006604823983217,0.41374280380357253,0.07292733759646053,0.4302765204701732,0.5589020205871139,0.170177549905407,0.030800735830064905,1.0982264665757162,Unsatisfactory,False
tp,16962,0.33801923031095954,0.8136217615101482,3.19515974214786,0.3643017600734412,0.77247009563424,0.8090644496780904,0.8643345235625463,0.9035162252371868,0.26653880286114245,0.07148042744981709,0.37016592446467567,0.5497176352848666,-0.10435354241029082,0.04680913206445018,1.0605981794538362,Unsatisfactory,False
