[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.48 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.83GB
[VRAM-MON] VRAM alloc=0.63 reserved=1.10 peak=1.11/15.93GB, smi_used=2.76GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.76GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.76GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.76GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.80GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.57 peak=1.57/15.93GB, smi_used=3.25GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.57 peak=1.57/15.93GB, smi_used=3.25GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.57 peak=1.57/15.93GB, smi_used=3.25GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.57 peak=1.57/15.93GB, smi_used=3.25GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.57 peak=1.57/15.93GB, smi_used=3.25GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.57 peak=1.57/15.93GB, smi_used=3.25GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.57 peak=1.57/15.93GB, smi_used=3.25GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.57 peak=1.57/15.93GB, smi_used=3.25GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.57 peak=1.57/15.93GB, smi_used=3.25GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.57 peak=1.57/15.93GB, smi_used=3.25GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.57 peak=1.57/15.93GB, smi_used=3.25GB
[VRAM-MON] VRAM alloc=0.45 reserved=1.57 peak=1.57/15.93GB, smi_used=3.25GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.57 peak=1.57/15.93GB, smi_used=3.25GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.57 peak=1.57/15.93GB, smi_used=3.25GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.57 peak=1.57/15.93GB, smi_used=3.25GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.57 peak=1.57/15.93GB, smi_used=3.25GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.57 peak=1.57/15.93GB, smi_used=3.25GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.57 peak=1.57/15.93GB, smi_used=3.25GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.57 peak=1.57/15.93GB, smi_used=3.25GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.57 peak=1.57/15.93GB, smi_used=3.27GB
