target,stations,median_nse,mean_nse,worst_10pct_nse,worst_5pct_nse,stations_below_persistence,median_cov80_cal,worst_10pct_cov80_cal
chl-a,50,0.4366476484304465,0.4246849129437999,-0.05246030267002422,-0.10433484520291225,1,0.8172829994863893,0.7699420526624017
do,67,0.7272563553381703,0.6364622957155376,0.1013108752721197,-0.00627801952991508,7,0.8054474708171206,0.7718991588117777
tn,48,0.679239801310442,0.6062058127706013,0.20112332318012188,0.13868642373672016,8,0.8123028172911939,0.7793214601089028
toc,67,0.48667014140003306,0.4479735502365588,0.044699305265159466,0.019856515638245975,21,0.8098591549295775,0.7742545618183128
tp,48,0.33801923031095954,0.3217716902932706,-0.29350025143588737,-0.42961738693646995,11,0.8091176470588235,0.7807681158252852
