target,subset,n,nse_model,nse_persistence,rmse_model,rmse_persistence,crps_raw,cov80_raw,cov80_cal,mean_w80_raw,mean_w80_cal,median_abs_model_delta,median_abs_obs_delta,pred_delta_vs_obs_delta_corr,median_pred_minus_persistence_abs,forecast_vs_persistence_corr
chl-a,all_day5,18806,0.6647157460720066,0.6145966416516363,14.075865131288749,15.00991672680764,4.056217713604437,0.7471019887270021,0.8129320429650112,18.873606576046267,22.906239878225293,0.8655624389648438,0.8928541746849439,-0.05062405665530305,0.6979111035664873,0.9742422144132545
chl-a,actual_top5pct,941,-0.13067350175609582,-0.22974914743946462,43.380900521831855,44.79073214698778,21.348673238131415,0.667375132837407,0.722635494155154,85.90253431472718,101.87775732364445,8.248825073242188,10.376746930937834,-0.04551061923142947,6.80819486535114,0.9495753934518305
chl-a,abs_delta_top5pct,925,0.24849400918351028,0.16427114325500258,40.97902870326388,43.23910725342927,19.46729007919478,0.5956756756756757,0.6594594594594595,70.24886464158627,82.90861317270318,6.131281852722168,18.450347105662033,-0.09380702593727747,4.749280308213685,0.9590086405748464
chl-a,model_large_error_top10pct,1881,0.13257777299477047,0.06236360545136366,41.74361701141062,43.41234986343945,21.231659763149867,0.33758639021796916,0.4529505582137161,61.38463134404246,73.2107581700092,5.484199523925781,6.7865701261020845,-0.06419992873358872,4.255002975463867,0.9577343722418319
do,all_day5,24638,0.764660518553163,0.7287488727125517,1.2949917909698467,1.3931945136913424,0.5310426921011053,0.7580566604432178,0.8048948778309928,2.7538718383566185,3.126116579198905,0.23983001708984375,0.25449468682637466,-0.03223477503125132,0.20637872815132186,0.980133269672139
do,actual_top5pct,1232,-2.5072805225314068,-2.7417266286463007,1.507188963978635,1.5266632552410755,0.6060505970455551,0.6818181818181818,0.762987012987013,2.4063925870827267,2.9891943575714808,0.20802593231201172,0.19864167485918394,-0.03283552082216398,0.15313061078389545,0.9325518746463872
do,abs_delta_top5pct,1210,0.2685938653588352,0.17445149581654595,2.753264697165351,2.917037677060207,1.3136344754624711,0.6181818181818182,0.6603305785123967,5.076740927073704,5.649346253365667,0.45822668075561523,1.9645432591089729,-0.05699082441500379,0.4279896255695461,0.9571212437457481
do,model_large_error_top10pct,2464,-0.00030066302340747697,-0.06165960157843586,3.3116161604680583,3.421920519781215,1.8143561348779131,0.2609577922077922,0.35917207792207795,4.7163659373038245,5.369357955238994,0.4748344421386719,0.6890622874101009,-0.08329496299027739,0.4025365114212036,0.9597739623689117
tn,all_day5,17225,0.9124032263821963,0.9048990263714051,0.4511325780236289,0.46517795019565034,0.16958901147728608,0.7388098693759071,0.8096952104499274,0.7712689516338667,0.9821730686235197,0.06097126007080078,0.0646335791731088,-0.04823992824843088,0.05028946201006579,0.9929093571207189
tn,actual_top5pct,862,0.4055501007166168,0.36851077395990894,1.089100756476787,1.1144460939126835,0.47209614886779716,0.734338747099768,0.820185614849188,2.0064257608765517,2.7147065317069523,0.1892261505126953,0.2132213357566064,-0.09334413176273455,0.15868506166670104,0.9699190252754971
tn,abs_delta_top5pct,840,0.6497684774052688,0.6572939070537022,1.23812467853028,1.212451363113095,0.6221958924468823,0.4785714285714286,0.580952380952381,1.4988243538442823,1.9652319868917532,0.13257932662963867,0.6188942740360897,-0.09956528994957739,0.11076076328754403,0.989949793150827
tn,model_large_error_top10pct,1723,0.6477836027209336,0.6478767005109851,1.2428864225489835,1.2342951504773818,0.6973867673751695,0.236796285548462,0.3772489843296576,1.4592025273339526,1.9053079680382343,0.1378387212753296,0.20666541655858328,-0.0872841393107008,0.11496905658556056,0.9872693590238982
toc,all_day5,23938,0.8120060168482124,0.7828827671486461,0.6105324018656153,0.6526511533804671,0.2197370417155377,0.7676497618848692,0.8089648257999833,1.1109637342227194,1.2958340122866925,0.07526302337646484,0.07270658919305528,-0.015660735887523234,0.07117637991905212,0.9702466914231157
toc,actual_top5pct,1197,-1.1208474217814217,-1.1104166814106904,1.6801395404554147,1.7152238568498084,0.7423026568337852,0.6808688387635756,0.7176274018379282,2.5668191430824145,2.869653116638894,0.24044394493103027,0.3850862809589932,-0.006281539183253133,0.27361547255861574,0.8610680221659736
toc,abs_delta_top5pct,1168,0.20200625327343102,0.17972302947641605,1.7048409007774508,1.7463492931861193,0.8104524130256231,0.5351027397260274,0.5847602739726028,2.157716919712671,2.5308688767155405,0.16711211204528809,0.960280771816874,-0.02453519726121036,0.18546984593073557,0.940067121706254
toc,model_large_error_top10pct,2394,0.06639893221908022,0.06532004220666643,1.7193842344986685,1.7351855443701905,0.9204339375828438,0.30868838763575607,0.40810359231411864,2.3286171991101083,2.6805343835394737,0.21049785614013672,0.3117332051197692,-0.049386386626489795,0.2065022605052893,0.9155438538451616
tp,all_day5,16962,0.6887820080360207,0.6103835706830059,0.020925763076983045,0.022872190723678944,0.005983987263509904,0.7777384742365288,0.8087489682820422,0.026494411464240277,0.03249266736524153,0.001371257472783327,0.0013726226490118777,-0.023160153619041328,0.0009756437114750351,0.9585319080147021
tp,actual_top5pct,849,-1.0701852261884408,-1.2279543894487288,0.07032647546181633,0.07339353728261402,0.03197967021289052,0.624263839811543,0.6725559481743227,0.08681210607851914,0.10289618908236858,0.009030632674694061,0.014041665631035982,-0.042505659085510177,0.006844088072992027,0.9271263016262865
tp,abs_delta_top5pct,826,-0.1464364818926689,-0.28618919140478183,0.07150984500573387,0.07508736853356465,0.03321876788644255,0.4854721549636804,0.5508474576271186,0.07207274162092135,0.0890070933199376,0.005676398053765297,0.03055983460305827,-0.045982658031205804,0.004754201935914654,0.9411296880921209
tp,model_large_error_top10pct,1697,-0.12723016433222734,-0.26725260385256355,0.06282639078580711,0.06599102256227392,0.03184530977969558,0.3494401885680613,0.44961697112551563,0.07209357544119839,0.08789056866769487,0.007183849811553955,0.011206597089767458,-0.03649400302843654,0.005338488767544433,0.9260332470022765
