target,horizon_day,n,w80_raw_mean,w80_raw_cv,w80_cal_mean,w80_cal_cv,width_error_corr_raw,width_error_corr_cal,high_error_width_ratio_raw,high_error_width_ratio_cal,raw_cov80,cal_cov80,raw_winkler80,cal_winkler80
chl-a,1,18768,7.58301981190891,1.6073296495974647,7.527857743015064,1.6251310950797906,0.6530878951371393,0.65135461981245,5.154625895989288,5.214839445473044,0.8438299232736572,0.8196398124467178,10.505970148877122,10.54852704238686
chl-a,2,18777,12.249792448285977,1.5134670613577113,13.560666739877494,1.4627438182616361,0.6534969742704858,0.6537257292823612,4.849972666661021,4.704494990884605,0.7855354955530702,0.8174362251690899,19.443789469508566,19.60823103721905
chl-a,3,18786,15.00124758828897,1.4722288202416376,17.347790480547406,1.4159772723621746,0.6369531686780023,0.637359534884852,4.660383209408348,4.504157041194385,0.7696156712445438,0.8156073671883317,25.3850662228614,25.672653188353294
chl-a,4,18794,17.10225582507153,1.4552628738548896,20.58087453769474,1.402804701099801,0.6263091914289551,0.6281041923631095,4.4670904821375075,4.337902606373199,0.7542300734276897,0.8151005640097904,29.928858753883304,30.247236066184065
chl-a,5,18806,18.873606576046267,1.4448952404318833,22.906239878225293,1.3945755437141663,0.6116024120480988,0.6158034938842452,4.338429892687419,4.228040765601261,0.7471019887270021,0.8129320429650112,33.29632003694579,33.67553467021963
do,1,24567,1.127376354200902,0.7795793969897556,1.119016809666086,0.8115676410591284,0.531450229128959,0.5266135448741684,2.2467137817006986,2.2879028988839223,0.8309520902023039,0.8155248911140961,1.6100077570295113,1.6216024730231415
do,2,24583,1.815419394674196,0.7274998445810202,2.002576234463868,0.7347258320795124,0.49202209259943175,0.48904745414227746,2.0646011415875503,2.0702457706899926,0.7797665053085465,0.8136517105316682,2.8554458850200737,2.8898814772452126
do,3,24601,2.230332119465089,0.6998655360442556,2.5168720400988494,0.7102791032731447,0.47097350853215,0.46810490780069536,1.9567463073033897,1.969602834934691,0.7668387463924231,0.8112678346408683,3.512778460059086,3.566716290837702
do,4,24618,2.5174997979072646,0.6841024040019646,2.871861323472639,0.6871191564910756,0.44741171567648197,0.4413375411937966,1.902135139750988,1.9015899655132162,0.7622471362417743,0.8088390608497847,3.955037925328304,4.031942505322623
do,5,24638,2.7538718383566185,0.6752816914258176,3.126116579198906,0.6808422720895283,0.4347931061370154,0.42848415758788355,1.859914430665704,1.8664049854309517,0.7580566604432178,0.8048948778309928,4.278628343293686,4.359509937417723
tn,1,17157,0.3315592762042646,0.8380296882950113,0.3247079459063489,0.9594143194658338,0.441681730219288,0.43231137289671495,2.3417192212764237,2.537832463153808,0.8513726175904879,0.8177420294923355,0.4914237285648655,0.4954448936570619
tn,2,17174,0.5106001438151538,0.8431073625735139,0.5933121412567717,0.9077680182042298,0.4547090855350138,0.4469509255964166,2.2731280109095438,2.3591520772319123,0.780889717014091,0.8168743449400256,0.8884729777407051,0.9036468986686148
tn,3,17191,0.6189631196052585,0.8290360605730982,0.7531326190091757,0.8797877383621697,0.4391668240642829,0.4400518670827667,2.154320992945511,2.216916410671193,0.7588272933511722,0.8130998778430574,1.1087030458716365,1.1278338293728538
tn,4,17208,0.69975033299742,0.8258380387931316,0.8776723318383506,0.8774794901829847,0.4406798788714289,0.443607132618611,2.1624196779163407,2.2182645216777677,0.742794049279405,0.8103788935378894,1.2744700865932364,1.2957589735829305
tn,5,17225,0.7712689516338667,0.8197381375743762,0.9821730686235197,0.887675570042085,0.43201586630578137,0.43493232489379613,2.100154483853619,2.166182541939022,0.7388098693759071,0.8096952104499274,1.404759413183471,1.4368392515612112
toc,1,23836,0.453761276553483,3.2259351579131934,0.4602275983160038,3.2180321738044,0.4256146420931197,0.43003091325539217,3.4528898573496143,3.56729610128239,0.8387313307601947,0.8162443362980366,0.7318580557614403,0.7425699757156233
toc,2,23858,0.7585393944510831,5.380310825177311,0.8482907413893239,4.8475499751499544,0.17818679336574944,0.1888043787725055,3.0985676450294126,3.07911822197345,0.7938636935199933,0.8181322826724788,1.2748485995035377,1.305641508052667
toc,3,23882,0.8977386356471718,1.3803556902046752,1.0304063772617817,1.3361831428541457,0.3373978197386444,0.34631672549954895,2.5776264135753966,2.560517840016614,0.7797085671216816,0.8138765597521146,1.514883439122795,1.5606219592470552
toc,4,23909,1.0139909175370208,1.0278345757382386,1.1735722309869558,1.0386996637288222,0.4112270400784438,0.4025926245621351,2.416666067389527,2.3977992875188363,0.7731398218244175,0.8106570747417291,1.6961489243643373,1.7549457547901306
toc,5,23938,1.1109637342227194,1.0152625017501835,1.2958340122866925,1.0239779137836362,0.4089088293678508,0.3966028429719464,2.3867186547935377,2.347301729630194,0.7676497618848692,0.8089648257999833,1.8500047345389459,1.9212226107338362
