target,horizon_day,n,raw_any_cross_rate,cal80_cross_rate,cal90_cross_rate,raw_global_cross_rate
chl-a,1,21418,0.0,0.04776356335792324,0.03739844990195163,0.0
chl-a,2,21418,0.0,0.00863759454664301,0.006489868335045289,0.0
chl-a,3,21418,0.0,0.013166495471099075,0.0065832477355495375,0.0
chl-a,4,21418,0.0,0.008404146045382388,0.017835465496311514,0.0
chl-a,5,21418,0.0,0.010131664954710991,0.01643477448874778,0.0
do,1,28811,0.0,0.05803339002464337,0.04737773766964007,0.0
do,2,28811,0.0,0.016417340599076742,0.010377980632397348,0.0
do,3,28811,0.0,0.01631321370309951,0.019679983339696644,0.0
do,4,28811,0.0,0.01822220679601541,0.01048210752837458,0.0
do,5,28811,0.0,0.018152788865363922,0.010655652355003297,0.0
tn,1,20543,0.0,0.07530545684661442,0.05739181229615928,0.0
tn,2,20543,0.0,0.005062551720780802,0.0011682811663340311,0.0
tn,3,20543,0.0,0.0017524217495010466,0.0009735676386116926,0.0
tn,4,20543,0.0,0.0007788541108893541,0.00043810543737526165,0.0
tn,5,20543,0.0,0.0007301757289587694,0.00038942705544467703,0.0
toc,1,28811,0.0,0.07760924646836277,0.05664503141161362,0.0
toc,2,28811,0.0,0.02526812675714137,0.007497136510360626,0.0
toc,3,28811,0.0,0.011419249592169658,0.012911735101176634,0.0
toc,4,28811,0.0,0.008399569608829961,0.006559994446565548,0.0
toc,5,28811,0.0,0.017111519905591614,0.01572316129256187,0.0
tp,1,20543,0.0,0.08066007885897873,0.03407486735140924,0.0
tp,2,20543,0.0,0.01903324733485859,0.006182154505184247,0.0
tp,3,20543,0.0,0.015187655162342403,0.009686998004186341,0.0
tp,4,20543,4.867838193058463e-05,0.015285011926203573,0.010173781823492187,4.867838193058463e-05
tp,5,20543,0.0,0.014165409141800126,0.0054519787762254785,0.0
