river,station,target,n,nse,nse_persistence,coverage80_raw,coverage80_cal,rmse,median_abs_q50_minus_persistence
geum,S03002,chl-a,407,0.45132622749642526,0.40349396911947777,0.7641277641277642,0.8452088452088452,12.227150276811821,1.2270281910896297
geum,S03002,do,409,0.27229280201948425,0.06538313733200396,0.8361858190709046,0.8166259168704156,1.6653160313316124,0.4017442600293597
geum,S03002,toc,374,0.27517422532788816,-0.14422664849902644,0.786096256684492,0.8101604278074866,0.8123253427940742,0.23272671302159642
geum,S03003,chl-a,433,0.44380957925434705,0.33653293039154175,0.7598152424942263,0.8244803695150116,7.887029158077123,0.4673836628595991
geum,S03003,do,436,0.7346830082630716,0.7053711993324913,0.731651376146789,0.7912844036697247,0.9430107474962705,0.11499412854512592
geum,S03003,tn,419,0.7095557232603839,0.6775853925993808,0.801909307875895,0.8138424821002387,0.2828513364314617,0.0422304769357047
geum,S03003,toc,210,0.27313174639028603,0.2832099288659323,0.6714285714285714,0.819047619047619,0.24427731863357724,0.030785386761029487
geum,S03003,tp,425,0.3489563543402191,0.2959573004605034,0.8682352941176471,0.8094117647058824,0.005709460189799298,0.00046218310793240923
geum,S03004,chl-a,319,0.3320122044404118,0.1465403719766325,0.64576802507837,0.8087774294670846,18.42436772084238,2.9300813169190363
geum,S03004,do,317,0.34484103896307705,0.0972197685649071,0.7255520504731862,0.8138801261829653,2.233171680377378,0.5090054138140241
geum,S03004,tn,313,0.7930771280865294,0.7359699597443867,0.7188498402555911,0.8146964856230032,0.5142554524762638,0.11934212843577052
geum,S03004,toc,304,0.5076449141066222,0.4840296070949325,0.7598684210526315,0.7894736842105263,0.3167226761949139,0.08767376343409206
geum,S03004,tp,318,0.34887962676708584,0.19414439909268044,0.7704402515723271,0.8238993710691824,0.02783371843723389,0.0038497690111398697
geum,S03005,chl-a,393,0.27215785682026705,0.1952691930225804,0.6513994910941476,0.7938931297709924,23.746538877310595,3.3670429388682024
geum,S03005,do,400,0.3304658781818314,0.21058953096727773,0.6775,0.82,2.4734035370763543,0.32446127768718824
geum,S03005,tn,394,0.8385139006347041,0.8209654814357032,0.7385786802030457,0.7918781725888325,0.4442067351285433,0.07903166611989354
geum,S03005,toc,397,0.39258991085716755,0.3200087423439487,0.8513853904282116,0.8060453400503779,0.3149172319605644,0.08453198273976614
geum,S03005,tp,389,0.14364978634006142,-0.09417723418096169,0.7095115681233933,0.7969151670951157,0.024895026975138422,0.0025290302000939846
geum,S03006,chl-a,311,0.5994228646669654,0.5984435212681618,0.6591639871382636,0.8263665594855305,32.12703701185724,2.154000196605921
geum,S03006,do,355,0.41215007803244585,0.3506422202351259,0.8140845070422535,0.8140845070422535,1.5962510283726916,0.37168495810550173
geum,S03006,toc,342,0.4347400466077356,0.522809803226733,0.7485380116959064,0.8070175438596491,1.0059952592379118,0.20708232858906617
geum,S03007,chl-a,431,0.384709177559308,0.19014321189817862,0.7726218097447796,0.8306264501160093,10.73676810537226,0.8246237436930342
geum,S03007,do,435,0.6534070050126168,0.6303786393830331,0.728735632183908,0.7862068965517242,1.2412463644025886,0.17348575592041016
geum,S03007,tn,427,0.45510109374970154,0.44940028646055774,0.7845433255269321,0.775175644028103,0.48097718570260195,0.05692631006240845
geum,S03007,toc,416,0.6199248746477705,0.5706893367411319,0.7908653846153846,0.8100961538461539,0.4204986920554231,0.04672625073880843
geum,S03007,tp,400,0.4712942798629961,0.3906233593758218,0.765,0.8225,0.018160199717954732,0.0010365368393452264
geum,S03008,chl-a,409,0.6598624051453862,0.5711216428482844,0.784841075794621,0.7603911980440098,7.9152174645364965,0.2977629701296487
geum,S03008,do,408,0.861222222304904,0.8586766133181666,0.7769607843137255,0.7769607843137255,0.5873376954554362,0.09435492753982544
geum,S03008,tn,408,0.808533853965349,0.7982640618193937,0.7818627450980392,0.8161764705882353,0.1442281271492484,0.020212521155675178
geum,S03008,toc,396,0.8305424550006453,0.8612701390951698,0.8207070707070707,0.8232323232323232,0.12566905575178583,0.019665497044722313
geum,S03008,tp,408,0.6831579948990741,0.7119234900452873,0.8137254901960784,0.8088235294117647,0.0018013580568432897,0.00014152701381438715
geum,S03009,chl-a,416,0.33204700203887205,0.14008168097538887,0.7475961538461539,0.7956730769230769,1.18339981943868,0.1682375726245695
geum,S03009,do,425,0.958272940312082,0.959931514482856,0.6094117647058823,0.8023529411764706,0.6227466963505018,0.11028818289438824
geum,S03009,tn,415,0.7510014994334562,0.690364136655286,0.8337349397590361,0.8289156626506025,0.12821982893377054,0.024632421632607704
geum,S03009,toc,413,0.742953498437961,0.7648999840979009,0.7409200968523002,0.7796610169491526,0.11629632679854017,0.019635250171025742
geum,S03009,tp,421,0.8174164954260694,0.8366163541832384,0.8194774346793349,0.828978622327791,0.00566039990855891,0.0006461807060986757
geum,S03010,do,385,0.2718456213989109,0.24695737832341502,0.7038961038961039,0.7896103896103897,2.0192162231401043,0.26651897033055594
geum,S03010,tn,387,0.6854178596865832,0.6407743180949602,0.7054263565891473,0.7803617571059431,0.4119822799498759,0.05832354227701808
geum,S03010,toc,384,0.714228452655996,0.694143129622429,0.8072916666666666,0.8411458333333334,0.6810005959671998,0.09427462021509792
