target,subset,n,event_rate,pr_auc,f1,bss
chl-a,all_horizons,107090,0.23647399383695958,0.778165496235047,0.7404292917752084,0.548614248707471
do,all_horizons,2185,0.0,,0.0,
tn,all_horizons,102715,0.2942218760648396,0.7019063479157301,0.7964945106347852,0.441603297823171
toc,all_horizons,144055,0.030800735830064905,0.429082016619316,0.5589020205871139,0.170177549905407
tp,all_horizons,102715,0.04680913206445018,0.4386912522785682,0.5497176352848666,-0.10435354241029082
